Порядковый номер;ОКВЭД2;ОКПД2;Тип объекта закупки;Предмет договора;Начальная (максимальная) цена договора;Объем финансового обеспечения за счет бюджетных средств;Валюта договора;Объем оплаты долгосрочного договора в календарном (отчетном) году;Валюта объема оплаты долгосрочного договора;Объем привлечения субъектов малого и среднего предпринимательства в календарном (отчетном) году;Валюта объема привлечения субъектов малого и среднего предпринимательства;Количество (объем);Единица измерения;Регион поставки товаров (выполнения работ, оказания услуг);Закупка, участниками которой являются только субъекты малого и среднего предпринимательства;Закупка запланирована на 3 и последующие годы реализации плана закупки;Закупка исключается при расчете годового объема закупок, участниками которых являются субъекты малого и среднего предпринимательства;Закупка товаров, работ, услуг, удовлетворяющих критериям отнесения к инновационной продукции, высокотехнологичной продукции;Дата (период) размещения извещения о закупке;Срок исполнения договора;Способ закупки;"Информация о закупке не подлежит размещению на Официальном сайте ЕИС в случаях, определенных Правительством РФ
в соответствии с частью 16 статьи 4 ФЗ № 223-ФЗ";Закупка в электронной форме;Статус позиции;Тип закупки;Заказчик
1;"68.20.2
68.20.2";"68.20.12
68.20.12";;Аренда помещений в здании М-2 п. Раякоски, земельного участка с кадастровым номером 51:03:0090103:207;1221420;;Российский рубль;81330;Российский рубль;0;Российский рубль;"753.09
246.7";"Квадратный метр
Квадратный метр общей площади";Мурманская   обл;Нет;Нет;Да;Нет;09.2018;04.2023;Закупка у единственного поставщика (подрядчика, исполнителя) (до 01.07.18);Нет;Нет;Размещена;Планируемая закупка;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ  ОБЩЕСТВО  ""ТЕРРИТОРИАЛЬНАЯ  ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ   №1"""
2;49.42;49.31.21.110;;"Услуги по перевозке персонала управления филиала ""Кольский"" ПАО ""ТГК-1""";7945000;;Российский рубль;0;Российский рубль;0;Российский рубль;2470;Штука;Мурманская   обл;Нет;Нет;Нет;Нет;11.2018;12.2023;Открытый запрос предложений в электронной форме;Нет;Да;Размещена;Планируемая закупка;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ  ОБЩЕСТВО  ""ТЕРРИТОРИАЛЬНАЯ  ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ   №1"""
3;84.11.21;68.20;;Аренда земельного участка с кад.№ 78:31:0001417:4284 по адресу:СПБ., ул.Новгородская, д.11, уч.36;20411250;;Российский рубль;492050;Российский рубль;0;Российский рубль;68024;Квадратный метр;Санкт-Петербург;Нет;Нет;Да;Нет;11.2018;02.2060;Закупка у единственного поставщика (подрядчика, исполнителя) (до 01.07.18);Нет;Нет;Размещена;Планируемая закупка;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ  ОБЩЕСТВО  ""ТЕРРИТОРИАЛЬНАЯ  ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ   №1"""
4;84.11.21;68.20;;Аренда земельного участка с кад.№78:31:0001417:4286 по адресу: СПб., ул. Новгордская, д.11, уч.35;7251740;;Российский рубль;174820;Российский рубль;0;Российский рубль;25175;Квадратный метр;Санкт-Петербург;Нет;Нет;Да;Нет;11.2018;02.2060;Закупка у единственного поставщика (подрядчика, исполнителя) (до 01.07.18);Нет;Нет;Размещена;Планируемая закупка;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ  ОБЩЕСТВО  ""ТЕРРИТОРИАЛЬНАЯ  ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ   №1"""
5;84.11.21;68.20;;Аренда земельного участка с кад.№ 78:31:0001417:4287 по адресу: СПБ., ул. Новгородская, д.11, уч.34;1960510;;Российский рубль;47260;Российский рубль;0;Российский рубль;5890;Квадратный метр;Санкт-Петербург;Нет;Нет;Да;Нет;11.2018;02.2060;Закупка у единственного поставщика (подрядчика, исполнителя) (до 01.07.18);Нет;Нет;Размещена;Планируемая закупка;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ  ОБЩЕСТВО  ""ТЕРРИТОРИАЛЬНАЯ  ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ   №1"""
6;84.11.35;68.20.1;;Аренда земельного участка с кадастровым номером 51:01:2801001:374;2733740;;Российский рубль;0;Российский рубль;0;Российский рубль;89999;Квадратный метр;Мурманская   обл;Нет;Нет;Да;Нет;09.2018;06.2067;Закупка у единственного поставщика (подрядчика, исполнителя) (до 01.07.18);Нет;Нет;Размещена;Планируемая закупка;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ  ОБЩЕСТВО  ""ТЕРРИТОРИАЛЬНАЯ  ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ   №1"""
7;84.11.35;68.20.1;;Аренда земельного участка с кадастровым номером 51:01:0601001:40;11386490;;Российский рубль;231310;Российский рубль;0;Российский рубль;62077;Квадратный метр;Мурманская   обл;Нет;Нет;Да;Нет;05.2018;03.2067;Закупка у единственного поставщика (подрядчика, исполнителя) (до 01.07.18);Нет;Нет;Размещена;Планируемая закупка;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ  ОБЩЕСТВО  ""ТЕРРИТОРИАЛЬНАЯ  ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ   №1"""
8;33.2;33.2;;Комплекс работ по модернизации основного и вспомогательного оборудования Верхне-Туломской ГЭС (2 этап);999649170;;Российский рубль;446206350;Российский рубль;0;Российский рубль;1;Комплект;Мурманская   обл;Нет;Нет;Нет;Нет;12.2018;12.2023;Открытый запрос предложений в электронной форме;Нет;Да;Размещена;Планируемая закупка;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ  ОБЩЕСТВО  ""ТЕРРИТОРИАЛЬНАЯ  ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ   №1"""
9;27;27.90;;Поставка основного и вспомогательного гидрогенерирующего оборудования по модернизации Верхне-Туломской ГЭС (2 этап);2116400000;;Российский рубль;0;Российский рубль;0;Российский рубль;1;Комплект;Мурманская   обл;Нет;Нет;Нет;Нет;12.2018;12.2023;Открытый запрос предложений в электронной форме;Нет;Да;Размещена;Планируемая закупка;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ  ОБЩЕСТВО  ""ТЕРРИТОРИАЛЬНАЯ  ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ   №1"""
10;68.20;68.20;;Аренда здания бани-прачечной   в п.Раякоски;1620600;;Российский рубль;107890;Российский рубль;0;Российский рубль;325.7;Квадратный метр;Мурманская   обл;Нет;Нет;Да;Нет;06.2018;04.2023;Закупка у единственного поставщика (подрядчика, исполнителя) (до 01.07.18);Нет;Нет;Размещена;Планируемая закупка;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ  ОБЩЕСТВО  ""ТЕРРИТОРИАЛЬНАЯ  ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ   №1"""
